"Date","Price","Open","High","Low","Change %"
"Nov 15, 2017","1.5050","1.5020","1.5128","1.5006","0.20%"
"Nov 14, 2017","1.5020","1.4857","1.5031","1.4853","1.11%"
"Nov 13, 2017","1.4855","1.4791","1.4863","1.4770","0.42%"
"Nov 10, 2017","1.4793","1.4767","1.4815","1.4735","0.19%"
"Nov 09, 2017","1.4765","1.4753","1.4794","1.4740","0.05%"
"Nov 08, 2017","1.4758","1.4800","1.4817","1.4735","-0.29%"
"Nov 07, 2017","1.4801","1.4750","1.4841","1.4739","0.35%"
"Nov 06, 2017","1.4749","1.4815","1.4838","1.4744","-0.45%"
"Nov 03, 2017","1.4816","1.4931","1.5001","1.4801","-0.78%"
"Nov 02, 2017","1.4933","1.4950","1.4996","1.4921","-0.12%"
"Nov 01, 2017","1.4951","1.5012","1.5033","1.4936","-0.37%"
"Oct 31, 2017","1.5007","1.4948","1.5045","1.4921","0.39%"
"Oct 30, 2017","1.4948","1.4857","1.4958","1.4857","0.53%"
"Oct 27, 2017","1.4869","1.4969","1.5003","1.4865","-0.65%"
"Oct 26, 2017","1.4967","1.5114","1.5148","1.4960","-0.99%"
"Oct 25, 2017","1.5116","1.4906","1.5136","1.4891","1.40%"
"Oct 24, 2017","1.4907","1.4865","1.4950","1.4842","0.28%"
"Oct 23, 2017","1.4866","1.4862","1.4889","1.4818","-0.09%"
"Oct 20, 2017","1.4880","1.4797","1.4880","1.4738","0.55%"
"Oct 19, 2017","1.4799","1.4695","1.4804","1.4686","0.71%"
"Oct 18, 2017","1.4695","1.4733","1.4741","1.4680","-0.26%"
"Oct 17, 2017","1.4733","1.4764","1.4792","1.4724","-0.23%"
"Oct 16, 2017","1.4767","1.4756","1.4819","1.4698","0.18%"
"Oct 13, 2017","1.4741","1.4757","1.4823","1.4721","-0.11%"
"Oct 12, 2017","1.4757","1.4778","1.4803","1.4739","-0.13%"
"Oct 11, 2017","1.4776","1.4778","1.4843","1.4762","0.00%"
"Oct 10, 2017","1.4776","1.4731","1.4792","1.4721","0.29%"
"Oct 09, 2017","1.4733","1.4698","1.4751","1.4683","0.16%"
"Oct 06, 2017","1.4709","1.4713","1.4740","1.4662","-0.03%"
"Oct 05, 2017","1.4714","1.4669","1.4730","1.4632","0.29%"
"Oct 04, 2017","1.4671","1.4664","1.4695","1.4647","0.04%"
"Oct 03, 2017","1.4665","1.4676","1.4725","1.4659","-0.08%"
"Oct 02, 2017","1.4677","1.4748","1.4748","1.4661","-0.37%"
"Sep 29, 2017","1.4731","1.4647","1.4803","1.4640","0.59%"
"Sep 28, 2017","1.4645","1.4651","1.4714","1.4631","-0.03%"
"Sep 27, 2017","1.4650","1.4560","1.4669","1.4485","0.61%"
"Sep 26, 2017","1.4561","1.4657","1.4687","1.4549","-0.65%"
"Sep 25, 2017","1.4657","1.4745","1.4755","1.4614","-0.58%"
"Sep 22, 2017","1.4742","1.4721","1.4760","1.4658","0.14%"
"Sep 21, 2017","1.4721","1.4655","1.4743","1.4643","0.46%"
"Sep 20, 2017","1.4653","1.4741","1.4763","1.4635","-0.60%"
"Sep 19, 2017","1.4741","1.4692","1.4771","1.4675","0.33%"
"Sep 18, 2017","1.4692","1.4570","1.4728","1.4514","0.88%"
"Sep 15, 2017","1.4564","1.4499","1.4610","1.4483","0.45%"
"Sep 14, 2017","1.4499","1.4466","1.4538","1.4439","0.21%"
"Sep 13, 2017","1.4469","1.4581","1.4592","1.4464","-0.76%"
"Sep 12, 2017","1.4580","1.4474","1.4586","1.4464","0.73%"
"Sep 11, 2017","1.4475","1.4641","1.4641","1.4469","-1.04%"
"Sep 08, 2017","1.4627","1.4564","1.4636","1.4547","0.40%"
"Sep 07, 2017","1.4568","1.4570","1.4665","1.4524","0.00%"
"Sep 06, 2017","1.4568","1.4740","1.4815","1.4486","-1.17%"
"Sep 05, 2017","1.4740","1.4774","1.4779","1.4692","-0.22%"
"Sep 04, 2017","1.4772","1.4706","1.4805","1.4697","0.48%"
"Sep 01, 2017","1.4701","1.4866","1.4893","1.4679","-1.11%"
"Aug 31, 2017","1.4866","1.4998","1.5056","1.4850","-0.89%"
"Aug 30, 2017","1.4999","1.4982","1.5046","1.4945","0.13%"
"Aug 29, 2017","1.4979","1.4976","1.5075","1.4957","-0.03%"
"Aug 28, 2017","1.4983","1.4879","1.4992","1.4848","0.69%"
"Aug 25, 2017","1.4881","1.4769","1.4905","1.4728","0.75%"
"Aug 24, 2017","1.4770","1.4826","1.4834","1.4762","-0.37%"
"Aug 23, 2017","1.4825","1.4776","1.4870","1.4770","0.35%"
"Aug 22, 2017","1.4773","1.4840","1.4847","1.4726","-0.43%"
"Aug 21, 2017","1.4837","1.4783","1.4876","1.4770","0.22%"
"Aug 18, 2017","1.4804","1.4870","1.4886","1.4748","-0.41%"
"Aug 17, 2017","1.4865","1.4844","1.4876","1.4725","0.11%"
"Aug 16, 2017","1.4849","1.4968","1.4990","1.4839","-0.81%"
"Aug 15, 2017","1.4970","1.4988","1.5010","1.4919","-0.10%"
"Aug 14, 2017","1.4985","1.4962","1.5018","1.4939","0.02%"
"Aug 11, 2017","1.4982","1.5000","1.5021","1.4944","-0.13%"
"Aug 10, 2017","1.5002","1.4935","1.5013","1.4870","0.46%"
"Aug 09, 2017","1.4934","1.4885","1.4941","1.4859","0.31%"
"Aug 08, 2017","1.4888","1.4958","1.4999","1.4836","-0.46%"
"Aug 07, 2017","1.4957","1.4885","1.4987","1.4884","0.42%"
"Aug 04, 2017","1.4894","1.4940","1.4962","1.4836","-0.30%"
"Aug 03, 2017","1.4939","1.4903","1.4963","1.4890","0.28%"
"Aug 02, 2017","1.4898","1.4795","1.4939","1.4791","0.68%"
"Aug 01, 2017","1.4797","1.4776","1.4826","1.4707","0.14%"
"Jul 31, 2017","1.4776","1.4587","1.4787","1.4587","1.12%"
"Jul 28, 2017","1.4612","1.4661","1.4717","1.4581","-0.31%"
"Jul 27, 2017","1.4658","1.4603","1.4685","1.4556","0.37%"
"Jul 26, 2017","1.4604","1.4577","1.4638","1.4532","0.24%"
"Jul 25, 2017","1.4569","1.4561","1.4639","1.4545","0.04%"
"Jul 24, 2017","1.4563","1.4624","1.4653","1.4533","-0.42%"
"Jul 21, 2017","1.4624","1.4644","1.4687","1.4593","-0.13%"
"Jul 20, 2017","1.4643","1.4519","1.4683","1.4481","0.87%"
"Jul 19, 2017","1.4517","1.4590","1.4598","1.4486","-0.51%"
"Jul 18, 2017","1.4591","1.4577","1.4675","1.4537","0.11%"
"Jul 17, 2017","1.4575","1.4498","1.4580","1.4482","0.52%"
"Jul 14, 2017","1.4499","1.4503","1.4593","1.4485","-0.01%"
"Jul 13, 2017","1.4501","1.4552","1.4601","1.4487","-0.33%"
"Jul 12, 2017","1.4549","1.4809","1.4831","1.4485","-1.76%"
"Jul 11, 2017","1.4810","1.4696","1.4834","1.4672","0.78%"
"Jul 10, 2017","1.4695","1.4674","1.4733","1.4658","0.10%"
"Jul 07, 2017","1.4680","1.4825","1.4840","1.4650","-0.98%"
"Jul 06, 2017","1.4825","1.4712","1.4832","1.4674","0.79%"
"Jul 05, 2017","1.4709","1.4675","1.4748","1.4657","0.21%"
"Jul 04, 2017","1.4678","1.4781","1.4794","1.4654","-0.71%"
"Jul 03, 2017","1.4783","1.4807","1.4837","1.4739","-0.20%"
"Jun 30, 2017","1.4813","1.4882","1.4894","1.4782","-0.43%"
"Jun 29, 2017","1.4877","1.4833","1.4899","1.4823","0.28%"
"Jun 28, 2017","1.4836","1.4966","1.4984","1.4785","-0.87%"
"Jun 27, 2017","1.4966","1.4807","1.4977","1.4802","1.07%"
"Jun 26, 2017","1.4808","1.4859","1.4867","1.4789","-0.29%"
"Jun 23, 2017","1.4851","1.4759","1.4884","1.4742","0.62%"
"Jun 22, 2017","1.4760","1.4890","1.4900","1.4736","-0.88%"
"Jun 21, 2017","1.4891","1.4771","1.4894","1.4765","0.81%"
"Jun 20, 2017","1.4771","1.4739","1.4826","1.4727","0.22%"
"Jun 19, 2017","1.4738","1.4802","1.4838","1.4726","-0.38%"
"Jun 16, 2017","1.4794","1.4789","1.4849","1.4760","0.03%"
"Jun 15, 2017","1.4789","1.4859","1.4872","1.4782","-0.48%"
"Jun 14, 2017","1.4860","1.4845","1.4924","1.4775","0.10%"
"Jun 13, 2017","1.4845","1.4927","1.4938","1.4792","-0.55%"
"Jun 12, 2017","1.4927","1.5072","1.5111","1.4919","-1.01%"
"Jun 09, 2017","1.5080","1.5150","1.5213","1.5015","-0.45%"
"Jun 08, 2017","1.5148","1.5208","1.5226","1.5122","-0.39%"
"Jun 07, 2017","1.5207","1.5174","1.5238","1.5065","0.22%"
"Jun 06, 2017","1.5173","1.5163","1.5203","1.5125","0.06%"
"Jun 05, 2017","1.5164","1.5218","1.5232","1.5139","-0.30%"
"Jun 02, 2017","1.5210","1.5154","1.5261","1.5148","0.37%"
"Jun 01, 2017","1.5154","1.5179","1.5196","1.5110","-0.16%"
"May 31, 2017","1.5179","1.5055","1.5206","1.5017","0.82%"
"May 30, 2017","1.5056","1.5019","1.5110","1.4970","0.24%"
"May 29, 2017","1.5020","1.5032","1.5062","1.5007","-0.11%"
"May 26, 2017","1.5037","1.5117","1.5130","1.5010","-0.52%"
"May 25, 2017","1.5115","1.5043","1.5125","1.5027","0.48%"
"May 24, 2017","1.5043","1.5113","1.5143","1.5014","-0.47%"
"May 23, 2017","1.5114","1.5172","1.5203","1.5091","-0.40%"
"May 22, 2017","1.5174","1.5134","1.5210","1.5083","0.19%"
"May 19, 2017","1.5145","1.5103","1.5210","1.5091","0.28%"
"May 18, 2017","1.5103","1.5180","1.5211","1.5092","-0.50%"
"May 17, 2017","1.5179","1.5078","1.5215","1.5071","0.66%"
"May 16, 2017","1.5079","1.4962","1.5102","1.4955","0.79%"
"May 15, 2017","1.4961","1.4981","1.5010","1.4900","-0.17%"
"May 12, 2017","1.4987","1.4880","1.5005","1.4871","0.74%"
"May 11, 2017","1.4877","1.4841","1.4948","1.4835","0.25%"
"May 10, 2017","1.4840","1.4920","1.4961","1.4826","-0.54%"
"May 09, 2017","1.4920","1.4955","1.4985","1.4886","-0.23%"
"May 08, 2017","1.4955","1.5017","1.5076","1.4950","-0.39%"
"May 05, 2017","1.5013","1.5106","1.5156","1.4995","-0.59%"
"May 04, 2017","1.5102","1.4943","1.5123","1.4928","1.05%"
"May 03, 2017","1.4945","1.4986","1.5017","1.4926","-0.26%"
"May 02, 2017","1.4984","1.4913","1.5006","1.4897","0.50%"
"May 01, 2017","1.4910","1.4895","1.4938","1.4866","0.23%"
"Apr 28, 2017","1.4876","1.4826","1.4946","1.4801","0.35%"
"Apr 27, 2017","1.4824","1.4846","1.4895","1.4755","-0.14%"
"Apr 26, 2017","1.4845","1.4826","1.4858","1.4732","0.11%"
"Apr 25, 2017","1.4829","1.4673","1.4912","1.4667","1.07%"
"Apr 24, 2017","1.4672","1.4698","1.4722","1.4557","1.30%"
"Apr 21, 2017","1.4483","1.4437","1.4487","1.4399","0.32%"
"Apr 20, 2017","1.4437","1.4441","1.4535","1.4428","-0.05%"
"Apr 19, 2017","1.4444","1.4360","1.4464","1.4348","0.63%"
"Apr 18, 2017","1.4354","1.4174","1.4384","1.4163","1.27%"
"Apr 17, 2017","1.4174","1.4144","1.4186","1.4117","0.23%"
"Apr 14, 2017","1.4141","1.4146","1.4164","1.4129","-0.04%"
"Apr 13, 2017","1.4147","1.4131","1.4163","1.4051","0.08%"
"Apr 12, 2017","1.4136","1.4134","1.4161","1.4066","0.06%"
"Apr 11, 2017","1.4128","1.4117","1.4194","1.4086","0.04%"
"Apr 10, 2017","1.4122","1.4199","1.4220","1.4115","-0.53%"
"Apr 07, 2017","1.4197","1.4278","1.4310","1.4179","-0.57%"
"Apr 06, 2017","1.4279","1.4328","1.4362","1.4268","-0.33%"
"Apr 05, 2017","1.4326","1.4302","1.4341","1.4261","0.15%"
"Apr 04, 2017","1.4305","1.4277","1.4341","1.4264","0.21%"
"Apr 03, 2017","1.4275","1.4201","1.4304","1.4175","0.63%"
