"Date","Price","Open","High","Low","Change %"
"Mar 12, 2020","1.2573","1.2818","1.2851","1.2490","-1.94%"
"Mar 11, 2020","1.2822","1.2905","1.2978","1.2805","-0.67%"
"Mar 10, 2020","1.2908","1.3130","1.3134","1.2881","-1.71%"
"Mar 09, 2020","1.3133","1.3047","1.3201","1.3031","0.64%"
"Mar 06, 2020","1.3050","1.2954","1.3058","1.2943","0.73%"
"Mar 05, 2020","1.2955","1.2872","1.2970","1.2859","0.64%"
"Mar 04, 2020","1.2872","1.2812","1.2873","1.2770","0.47%"
"Mar 03, 2020","1.2812","1.2752","1.2845","1.2738","0.47%"
"Mar 02, 2020","1.2752","1.2801","1.2852","1.2740","-0.54%"
"Feb 28, 2020","1.2821","1.2884","1.2920","1.2725","-0.50%"
"Feb 27, 2020","1.2886","1.2907","1.2948","1.2859","-0.15%"
"Feb 26, 2020","1.2905","1.3006","1.3013","1.2896","-0.78%"
"Feb 25, 2020","1.3006","1.2924","1.3019","1.2914","0.60%"
"Feb 24, 2020","1.2929","1.2960","1.2973","1.2886","-0.32%"
"Feb 21, 2020","1.2971","1.2884","1.2982","1.2876","0.70%"
"Feb 20, 2020","1.2881","1.2922","1.2930","1.2848","-0.31%"
"Feb 19, 2020","1.2921","1.2998","1.3024","1.2907","-0.60%"
"Feb 18, 2020","1.2999","1.3007","1.3050","1.2971","-0.08%"
"Feb 17, 2020","1.3009","1.3036","1.3056","1.2998","-0.29%"
"Feb 14, 2020","1.3047","1.3050","1.3063","1.2999","0.00%"
"Feb 13, 2020","1.3047","1.2958","1.3071","1.2943","0.66%"
"Feb 12, 2020","1.2961","1.2951","1.2992","1.2946","0.06%"
"Feb 11, 2020","1.2953","1.2915","1.2970","1.2895","0.29%"
"Feb 10, 2020","1.2915","1.2898","1.2947","1.2872","0.17%"
"Feb 07, 2020","1.2893","1.2930","1.2959","1.2881","-0.29%"
"Feb 06, 2020","1.2930","1.2999","1.3005","1.2921","-0.55%"
"Feb 05, 2020","1.3002","1.3034","1.3071","1.2956","-0.22%"
"Feb 04, 2020","1.3031","1.2994","1.3048","1.2940","0.28%"
"Feb 03, 2020","1.2995","1.3216","1.3216","1.2983","-1.56%"
"Jan 31, 2020","1.3201","1.3099","1.3210","1.3083","0.81%"
"Jan 30, 2020","1.3095","1.3019","1.3112","1.2977","0.57%"
"Jan 29, 2020","1.3021","1.3028","1.3031","1.2988","-0.05%"
"Jan 28, 2020","1.3028","1.3054","1.3066","1.2975","-0.21%"
"Jan 27, 2020","1.3055","1.3075","1.3105","1.3041","-0.17%"
"Jan 24, 2020","1.3077","1.3121","1.3173","1.3056","-0.35%"
"Jan 23, 2020","1.3123","1.3140","1.3152","1.3097","-0.14%"
"Jan 22, 2020","1.3142","1.3051","1.3154","1.3034","0.70%"
"Jan 21, 2020","1.3051","1.3014","1.3087","1.2996","0.31%"
"Jan 20, 2020","1.3011","1.3002","1.3014","1.2961","0.01%"
"Jan 17, 2020","1.3010","1.3081","1.3119","1.3006","-0.53%"
"Jan 16, 2020","1.3079","1.3040","1.3085","1.3026","0.31%"
"Jan 15, 2020","1.3038","1.3018","1.3045","1.2986","0.15%"
"Jan 14, 2020","1.3018","1.2988","1.3034","1.2952","0.22%"
"Jan 13, 2020","1.2990","1.3056","1.3064","1.2961","-0.54%"
"Jan 10, 2020","1.3061","1.3067","1.3097","1.3042","-0.05%"
