"Date","Price","Open","High","Low","Change %"
"Jul 31, 2016","1.3073","1.3234","1.3376","1.3023","-1.19%"
"Jul 24, 2016","1.3231","1.3116","1.3305","1.3060","0.92%"
"Jul 17, 2016","1.3111","1.3172","1.3316","1.3066","-0.62%"
"Jul 10, 2016","1.3193","1.2951","1.3481","1.2851","1.83%"
"Jul 03, 2016","1.2956","1.3248","1.3341","1.2798","-2.31%"
"Jun 26, 2016","1.3262","1.3564","1.3564","1.3119","-3.06%"
"Jun 19, 2016","1.3680","1.4351","1.5020","1.3226","-4.72%"
"Jun 12, 2016","1.4358","1.4258","1.4388","1.4011","0.70%"
"Jun 05, 2016","1.4258","1.4515","1.4645","1.4179","-1.80%"
"May 29, 2016","1.4520","1.4624","1.4724","1.4385","-0.72%"
"May 22, 2016","1.4625","1.4508","1.4743","1.4445","0.86%"
"May 15, 2016","1.4501","1.4348","1.4662","1.4331","0.97%"
"May 08, 2016","1.4362","1.4429","1.4530","1.4339","-0.47%"
"May 01, 2016","1.4430","1.4611","1.4771","1.4413","-1.25%"
"Apr 24, 2016","1.4613","1.4414","1.4671","1.4403","1.46%"
"Apr 17, 2016","1.4403","1.4222","1.4451","1.4130","1.47%"
"Apr 10, 2016","1.4195","1.4123","1.4348","1.4089","0.49%"
"Apr 03, 2016","1.4126","1.4223","1.4325","1.4008","-0.70%"
"Mar 27, 2016","1.4226","1.4134","1.4465","1.4123","0.59%"
"Mar 20, 2016","1.4143","1.4480","1.4480","1.4056","-2.33%"
"Mar 13, 2016","1.4481","1.4385","1.4517","1.4054","0.65%"
"Mar 06, 2016","1.4387","1.4233","1.4438","1.4119","1.12%"
"Feb 28, 2016","1.4227","1.3870","1.4249","1.3836","2.57%"
"Feb 21, 2016","1.3870","1.4310","1.4321","1.3855","-3.72%"
"Feb 14, 2016","1.4406","1.4502","1.4538","1.4236","-0.70%"
"Feb 07, 2016","1.4507","1.4503","1.4580","1.4353","0.03%"
"Jan 31, 2016","1.4503","1.4242","1.4670","1.4226","1.80%"
"Jan 24, 2016","1.4247","1.4270","1.4416","1.4149","-0.13%"
"Jan 17, 2016","1.4265","1.4262","1.4364","1.4082","0.05%"
"Jan 10, 2016","1.4258","1.4524","1.4607","1.4251","-1.80%"
"Jan 03, 2016","1.4520","1.4748","1.4815","1.4506","-1.55%"
"Dec 27, 2015","1.4748","1.4914","1.4939","1.4727","-1.24%"
"Dec 20, 2015","1.4933","1.4897","1.4948","1.4803","0.26%"
"Dec 13, 2015","1.4894","1.5217","1.5232","1.4865","-2.12%"
"Dec 06, 2015","1.5217","1.5099","1.5240","1.4956","0.69%"
"Nov 29, 2015","1.5112","1.5038","1.5160","1.4895","0.50%"
"Nov 22, 2015","1.5037","1.5189","1.5197","1.5030","-1.02%"
"Nov 15, 2015","1.5192","1.5237","1.5337","1.5155","-0.27%"
"Nov 08, 2015","1.5233","1.5050","1.5266","1.5041","1.22%"
"Nov 01, 2015","1.5050","1.5452","1.5499","1.5026","-2.46%"
"Oct 25, 2015","1.5429","1.5308","1.5468","1.5241","0.75%"
"Oct 18, 2015","1.5314","1.5432","1.5507","1.5303","-0.78%"
"Oct 11, 2015","1.5435","1.5319","1.5510","1.5199","0.86%"
"Oct 04, 2015","1.5304","1.5178","1.5384","1.5135","0.80%"
"Sep 27, 2015","1.5182","1.5182","1.5241","1.5106","0.00%"
"Sep 20, 2015","1.5182","1.5534","1.5567","1.5134","-2.25%"
"Sep 13, 2015","1.5532","1.5421","1.5659","1.5326","0.66%"
"Sep 06, 2015","1.5430","1.5180","1.5477","1.5171","1.71%"
"Aug 30, 2015","1.5171","1.5395","1.5438","1.5163","-1.44%"
"Aug 23, 2015","1.5393","1.5700","1.5819","1.5334","-1.94%"
"Aug 16, 2015","1.5697","1.5642","1.5725","1.5562","0.33%"
